ID,PredictedProb
0,0
1,1
2,1
7,1
10,1
11,0
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
25,1
26,1
29,1
38,1
41,1
44,1
45,0
47,1
48,1
49,1
50,1
53,1
56,0
59,1
60,1
64,1
65,1
66,1
68,1
69,1
70,1
71,1
72,1
76,1
80,1
82,1
83,1
85,1
86,1
87,1
89,1
97,1
99,1
101,1
102,0
103,1
104,1
106,1
107,1
109,1
111,0
113,1
114,1
118,1
119,1
120,1
123,1
128,0
129,1
131,1
133,1
134,1
136,1
137,1
139,1
140,1
142,1
144,1
146,1
147,1
148,1
150,0
151,0
152,1
155,1
158,1
159,1
160,1
161,1
165,1
166,0
170,1
171,1
174,1
175,1
179,1
180,1
181,1
184,1
185,0
187,1
188,1
190,1
191,1
192,1
193,1
196,1
197,1
198,1
205,0
211,1
213,1
214,1
217,1
218,1
221,1
222,1
225,1
229,1
236,1
237,1
238,1
239,1
242,1
245,1
246,1
247,1
248,1
254,1
255,1
257,1
259,1
264,1
270,1
272,1
274,1
275,1
278,1
280,0
281,0
282,0
283,1
284,1
286,1
287,1
288,1
289,1
290,1
291,1
294,1
295,0
297,1
299,1
305,1
307,1
308,1
313,1
314,1
315,1
316,1
317,1
319,1
322,1
323,1
324,1
326,1
327,1
329,1
330,0
331,0
336,0
337,1
338,1
340,1
345,1
347,1
348,1
350,1
352,1
356,1
357,1
358,1
359,1
361,1
363,0
364,1
368,1
376,1
378,1
382,1
384,1
385,1
388,0
389,1
391,1
392,1
395,1
396,1
397,1
399,1
404,1
407,0
409,1
410,1
413,1
414,1
416,1
418,1
419,1
420,1
422,1
423,1
427,1
429,1
430,1
431,1
432,1
433,1
434,0
436,1
437,1
451,1
452,1
454,1
457,1
458,1
460,1
461,1
462,1
463,1
465,1
467,1
473,1
474,1
480,0
481,1
483,1
484,1
485,1
487,1
490,1
491,1
492,1
496,1
497,1
498,1
499,1
501,1
502,1
503,1
506,1
507,1
508,1
509,1
510,1
511,1
513,1
515,1
521,1
522,1
523,1
525,1
529,1
530,1
531,1
533,1
534,1
535,1
537,1
541,1
542,1
543,1
544,1
545,1
549,1
550,1
551,1
553,1
556,1
558,1
560,1
563,1
564,1
567,0
572,1
573,1
577,1
583,1
584,1
585,1
586,1
588,1
590,1
591,1
593,1
594,1
597,1
598,1
599,1
603,1
604,1
606,1
607,1
609,1
614,1
615,1
616,0
617,1
618,1
619,1
620,1
623,1
625,1
626,1
627,1
632,1
633,1
634,1
635,1
636,1
637,1
638,1
639,1
642,1
643,1
644,1
645,1
646,1
650,1
653,1
654,1
655,1
656,1
657,1
658,1
660,1
661,1
668,1
669,1
671,1
672,1
676,1
678,1
680,1
682,1
684,1
685,1
686,1
687,1
694,1
696,1
697,1
699,1
702,1
707,1
708,1
712,1
717,1
718,1
720,1
721,1
723,1
724,1
727,1
728,0
731,1
733,1
735,1
737,1
738,1
740,1
742,1
743,1
745,1
746,1
747,1
748,1
749,1
750,1
753,1
755,1
756,1
758,0
760,1
762,1
763,1
765,1
767,1
768,1
770,1
772,1
773,1
774,1
775,1
777,1
778,1
780,1
782,1
783,1
786,1
787,1
788,1
789,1
790,1
793,1
795,1
807,1
809,1
810,0
811,1
813,0
815,1
816,1
821,1
823,1
825,1
826,1
827,1
832,1
833,1
834,1
837,1
838,1
839,0
843,0
844,1
845,0
846,1
848,1
850,1
851,1
852,1
855,1
856,1
861,1
862,1
863,1
864,1
865,1
867,1
868,1
869,1
873,1
875,1
877,1
879,1
880,1
881,1
882,1
883,1
887,1
888,1
890,1
897,1
900,1
902,1
904,1
906,1
910,1
913,1
914,1
915,1
918,1
920,1
923,1
926,1
927,1
929,1
930,1
931,1
932,1
933,1
934,1
936,1
939,1
941,1
943,1
947,1
948,1
949,1
950,1
951,1
952,1
953,1
956,1
961,1
962,1
968,1
971,1
972,1
977,1
981,1
985,1
987,1
989,1
993,1
994,0
997,1
998,1
999,1
1002,1
1003,1
1004,1
1005,1
1007,1
1008,1
1014,1
1016,1
1021,1
1023,1
1026,1
1028,1
1029,1
1030,1
1031,1
1032,1
1033,1
1036,1
1037,1
1039,1
1046,1
1047,1
1049,1
1055,1
1057,0
1059,1
1060,1
1062,1
1063,1
1066,1
1067,1
1068,0
1070,1
1071,1
1073,1
1074,1
1075,1
1076,1
1077,1
1079,1
1083,1
1085,1
1087,1
1088,1
1089,1
1092,1
1095,1
1104,1
1106,1
1108,0
1110,1
1117,1
1118,1
1119,1
1121,1
1122,1
1124,1
1125,1
1126,0
1128,1
1129,1
1131,0
1132,1
1133,1
1134,1
1137,1
1138,1
1139,1
1140,1
1141,1
1143,1
1144,1
1145,1
1146,1
1147,1
1149,1
1151,1
1154,1
1156,1
1158,1
1165,1
1166,1
1167,1
1168,1
1169,1
1171,1
1173,0
1175,1
1181,1
1182,1
1184,1
1187,1
1189,1
1190,1
1193,1
1194,1
1196,1
1202,1
1203,1
1206,1
1209,1
1211,1
1212,0
1215,1
1216,0
1220,1
1222,1
1223,1
1224,1
1227,1
1229,1
1230,1
1233,1
1236,1
1242,1
1245,1
1246,1
1249,1
1250,1
1253,1
1258,1
1259,1
1262,1
1263,1
1265,1
1266,1
1267,1
1268,1
1269,1
1270,1
1271,1
1272,1
1276,1
1277,1
1279,1
1280,1
1283,1
1285,1
1286,1
1290,1
1293,1
1295,0
1297,1
1299,1
1300,1
1301,1
1302,1
1303,1
1304,1
1305,1
1306,1
1307,1
1308,1
1309,1
1312,1
1313,1
1314,1
1316,1
1318,1
1319,1
1320,1
1322,1
1323,0
1325,1
1329,1
1330,1
1334,1
1337,1
1340,1
1341,1
1342,1
1347,1
1349,1
1350,1
1355,1
1356,1
1357,1
1358,1
1359,1
1361,1
1363,0
1366,1
1367,1
1370,1
1375,1
1377,1
1379,1
1381,1
1382,1
1385,1
1387,1
1389,1
1392,1
1393,1
1395,1
1396,1
1399,0
1400,0
1401,1
1402,1
1405,1
1407,1
1409,1
1413,0
1414,0
1415,1
1417,1
1421,1
1422,1
1423,1
1425,1
1426,0
1428,1
1429,1
1430,1
1431,1
1433,1
1435,1
1436,1
1438,1
1439,1
1442,1
1448,1
1449,1
1451,1
1453,1
1455,1
1456,1
1458,1
1459,1
1463,1
1466,1
1468,1
1471,1
1472,1
1473,1
1474,1
1476,1
1477,1
1478,1
1479,1
1481,0
1482,1
1487,1
1490,1
1493,1
1494,1
1495,1
1496,1
1497,1
1498,1
1499,1
1500,1
1505,1
1507,1
1508,1
1510,1
1511,1
1513,0
1514,1
1518,1
1519,0
1520,1
1522,1
1523,1
1524,1
1527,1
1528,1
1529,1
1530,1
1532,1
1534,0
1536,1
1537,1
1540,1
1543,1
1546,1
1549,1
1553,1
1558,1
1560,1
1561,1
1562,1
1565,0
1573,0
1576,1
1577,1
1579,0
1580,1
1581,1
1582,0
1584,1
1586,1
1588,1
1589,1
1595,1
1598,0
1599,1
1600,1
1605,1
1609,1
1610,1
1615,1
1617,1
1619,1
1621,1
1622,1
1628,1
1629,1
1630,1
1631,1
1633,1
1636,1
1637,1
1638,1
1643,1
1644,1
1645,1
1646,1
1647,1
1648,1
1650,1
1651,1
1652,1
1654,1
1655,1
1657,1
1658,1
1663,0
1665,1
1666,1
1669,1
1675,1
1678,1
1679,1
1680,1
1681,1
1684,1
1687,0
1688,1
1692,1
1694,1
1695,1
1696,1
1697,0
1698,1
1699,1
1700,0
1701,1
1704,1
1705,1
1706,1
1708,1
1709,1
1712,1
1713,1
1715,1
1718,1
1720,1
1721,1
1724,1
1725,1
1726,0
1728,1
1729,1
1738,1
1739,1
1741,1
1743,1
1745,0
1750,1
1751,1
1753,1
1755,1
1757,1
1758,1
1759,1
1762,1
1763,1
1767,1
1769,1
1770,1
1778,1
1781,1
1784,1
1786,1
1787,1
1788,1
1789,1
1790,1
1794,0
1795,1
1797,1
1801,1
1802,1
1809,1
1810,1
1811,1
1816,1
1817,1
1818,0
1820,1
1821,1
1822,0
1823,1
1829,1
1833,1
1834,1
1836,1
1837,1
1839,1
1842,1
1845,1
1849,1
1851,1
1852,1
1853,1
1855,1
1856,1
1857,1
1859,1
1860,0
1861,1
1862,1
1864,1
1865,1
1869,1
1871,1
1872,1
1873,1
1874,1
1875,1
1878,1
1879,1
1880,1
1882,1
1887,1
1893,1
1896,1
1900,1
1902,1
1904,1
1906,1
1907,1
1909,1
1911,1
1913,1
1915,1
1917,0
1918,0
1919,1
1921,1
1922,1
1923,1
1926,1
1927,0
1928,1
1929,1
1931,1
1932,1
1938,1
1940,1
1941,1
1942,1
1944,1
