,Feature,Gain,Cover,Frequence
1,saldo_var30,0.314760217,0.172991839,0.063236206
2,var38,0.17184324,0.100872272,0.135771854
3,saldo_var42,0.074290344,0.035048288,0.016119033
4,saldo_medio_var5_hace2,0.06060149,0.052965134,0.048357099
5,saldo_medio_var5_ult1,0.030315474,0.01560011,0.034097954
6,saldo_var8,0.029874218,0.064739521,0.029758215
7,saldo_medio_var5_hace3,0.024655555,0.042515052,0.048977061
8,imp_op_var41_efect_ult1,0.022738137,0.050388849,0.032858029
9,ID,0.019942907,0.009284127,0.058276503
10,saldo_medio_var8_ult1,0.018022038,0.024794799,0.034717917
11,saldo_var37,0.017740908,0.023597923,0.03533788
12,imp_op_var41_efect_ult3,0.017654246,0.0438972,0.036577805
13,imp_ent_var16_ult1,0.016518163,0.060740061,0.044017359
14,imp_op_var41_ult1,0.016225792,0.018591297,0.029758215
15,imp_op_var39_ult1,0.013057299,0.022227394,0.021078735
16,saldo_var5,0.01290425,0.010622568,0.029138252
17,saldo_medio_var8_ult3,0.01239519,0.012654087,0.016119033
18,imp_op_var39_comer_ult3,0.011510861,0.004573823,0.026038438
19,saldo_medio_var5_ult3,0.010840908,0.008110994,0.024798512
20,imp_op_var39_comer_ult1,0.009787488,0.002247881,0.023558586
21,imp_op_var39_efect_ult1,0.009137951,0.021562513,0.011779293
22,imp_trans_var37_ult1,0.008347529,0.003874002,0.021698698
23,saldo_medio_var8_hace2,0.008274589,0.011756263,0.017358958
24,imp_op_var41_comer_ult3,0.007953126,0.006438979,0.019218847
25,imp_var43_emit_ult1,0.007446981,0.004536511,0.020458772
26,saldo_medio_var8_hace3,0.007009179,0.034154154,0.021078735
27,imp_op_var40_efect_ult1,0.00614339,0.015243027,0.006199628
28,saldo_var26,0.005788202,0.009458744,0.014879107
29,imp_op_var41_comer_ult1,0.005266836,0.005123805,0.012399256
30,imp_op_var39_efect_ult3,0.004771776,0.008183745,0.009299442
31,saldo_var13,0.004015098,0.00386789,0.003099814
32,imp_op_var40_efect_ult3,0.003101093,0.003576917,0.004959702
33,saldo_var25,0.002721127,0.009517581,0.007439554
34,saldo_var1,0.002405838,0.00061219,0.003099814
35,saldo_var40,0.001594204,0.00034442,0.001859888
36,imp_sal_var16_ult1,0.001572107,0.014056984,0.006819591
37,imp_var7_recib_ult1,0.001493965,0.026868061,0.006199628
38,saldo_medio_var12_hace2,0.001144933,0.007858861,0.003719777
39,imp_op_var40_ult1,0.001075602,0.000574313,0.002479851
40,saldo_medio_var12_ult1,0.001031992,0.0017231,0.002479851
41,saldo_medio_var12_ult3,0.000850647,0.008644578,0.003099814
42,saldo_var24,0.000714413,0.013815237,0.003719777
43,saldo_var13_corto,0.000520682,0.000627711,0.000619963
44,saldo_medio_var13_corto_ult3,0.000497982,0.000620218,0.000619963
45,saldo_medio_var12_hace3,0.000450885,0.00257805,0.001239926
46,saldo_var12,0.000327647,0.000289588,0.000619963
47,saldo_var14,0.000300714,0.003063253,0.001239926
48,imp_op_var40_comer_ult1,0.000163248,3.22E-05,0.000619963
49,imp_aport_var13_ult1,0.000106793,0.001839028,0.001239926
50,saldo_var17,4.52E-05,0.000478094,0.000619963
51,saldo_medio_var17_ult1,4.51E-05,0.000140039,0.000619963
52,saldo_var13_largo,2.40E-06,0.002076757,0.000619963
